
5段階評価,1		過去（2年より前）に観た
,2		最近（2年以内）観た
,3		観たことはないが、今後観てみたい
,4		観たことはなく、今後観てみたいか観てみたくないか分からない
,5		観たことはないし、今後も観てみたいとは思わない


,,映画の点数,５段階評価
2位,ローマの休日,0.162963,5
3位,アポロ13,0.158730,5
4位,プライベート・ライアン,0.152910,5
5位,モスラ,0.146032,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

262人目への推薦結果
1位,禁じられた遊び,0.366667,3
2位,天空の城ラピュタ,0.231343,3
3位,水戸黄門 天下の副将軍,0.202488,3
4位,プライベート・ライアン,0.170647,3
5位,最終兵器彼女,0.145771,3
,,,,,精度(3の割合)：100％
,,,,,精度(3，4の割合)：100％

263人目への推薦結果
1位,天空の城ラピュタ,0.238462,5
2位,アポロ13,0.170940,5
3位,日本沈没,0.150427,5
4位,禁じられた遊び,0.141026,5
5位,プライベート・ライアン,0.130769,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

264人目への推薦結果
1位,オペラ座の怪人,0.402963,3
2位,スウィングガールズ,0.288889,3
3位,アポロ13,0.240741,5
4位,モスラ,0.221481,3
5位,マトリックス・レボリューションズ,0.189630,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

265人目への推薦結果
1位,ラストサムライ,1.052632,5
2位,水戸黄門 天下の副将軍,0.507018,5
3位,禁じられた遊び,0.329825,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.271930,5
5位,アポロ13,0.215789,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

266人目への推薦結果
1位,禁じられた遊び,0.413433,5
2位,スター・ウォーズ エピソード3/シスの復讐,0.215920,4
3位,天空の城ラピュタ,0.215920,3
4位,プライベート・ライアン,0.170149,4
5位,最終兵器彼女,0.158706,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

267人目への推薦結果
1位,ラストサムライ,1.052632,5
2位,リング0 バースデイ,0.373099,5
3位,マトリックス・レボリューションズ,0.280702,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.271930,4
5位,スター・ウォーズ,0.271930,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

268人目への推薦結果
1位,スター・ウォーズ,0.285057,5
2位,禁じられた遊び,0.270115,4
3位,水戸黄門 天下の副将軍,0.212644,5
4位,プライベート・ライアン,0.202299,5
5位,パラサイト・イヴ,0.131034,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

269人目への推薦結果
1位,リング0 バースデイ,0.327684,3
2位,スター・ウォーズ エピソード3/シスの復讐,0.227684,4
3位,天空の城ラピュタ,0.227684,5
4位,アポロ13,0.155367,5
5位,日本沈没,0.136723,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

270人目への推薦結果
1位,アポロ13,0.187793,5
2位,日本沈没,0.165258,5
3位,禁じられた遊び,0.154930,4
4位,A.I.,0.126761,5
5位,戦国自衛隊,0.115962,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

271人目への推薦結果
1位,スター・ウォーズ エピソード1/ファントム・メナス,0.265714,5
2位,走れメロス,0.158571,5
3位,プライベート・ライアン,0.145714,5
4位,禁じられた遊び,0.136190,5
5位,ピアノ・レッスン,0.135714,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

272人目への推薦結果
1位,ラストサムライ,1.189189,3
2位,スター・ウォーズ エピソード3/シスの復讐,0.618018,5
3位,天空の城ラピュタ,0.618018,5
4位,マトリックス・レボリューションズ,0.317117,4
5位,禁じられた遊び,0.296396,4
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

273人目への推薦結果
1位,ラストサムライ,2.506667,5
2位,天空の城ラピュタ,0.860000,5
3位,スター・ウォーズ エピソード3/シスの復讐,0.860000,5
4位,2001年宇宙の旅,0.860000,5
5位,禁じられた遊び,0.522222,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

274人目への推薦結果
1位,ラストサムライ,0.888889,3
2位,水戸黄門 天下の副将軍,0.391667,4
3位,マトリックス・レボリューションズ,0.237037,3
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.229630,5
5位,スター・ウォーズ エピソード3/シスの復讐,0.229630,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

275人目への推薦結果
1位,オペラ座の怪人,0.561006,5
2位,アイ.ロボット,0.499371,4
3位,マトリックス・レボリューションズ,0.241509,4
4位,スター・ウォーズ エピソード3/シスの復讐,0.233962,3
5位,天空の城ラピュタ,0.233962,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

276人目への推薦結果
1位,リング0 バースデイ,0.639583,4
2位,禁じられた遊び,0.477083,5
3位,メカゴジラの逆襲,0.247917,4
4位,ローマの休日,0.233333,5
5位,水戸黄門 天下の副将軍,0.231250,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

277人目への推薦結果
1位,アイ.ロボット,0.439316,3
2位,バトル・ロワイアル,0.439316,5
3位,水戸黄門 天下の副将軍,0.361538,5
4位,オペラ座の怪人,0.324786,5
5位,日本沈没,0.207692,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

278人目への推薦結果
1位,ラストサムライ,1.073171,4
2位,リング0 バースデイ,0.424390,3
3位,天空の城ラピュタ,0.277236,5
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.277236,5
5位,スター・ウォーズ エピソード3/シスの復讐,0.277236,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

279人目への推薦結果
1位,水戸黄門 天下の副将軍,0.507018,4
2位,禁じられた遊び,0.329825,4
3位,アポロ13,0.215789,4
4位,リング0 バースデイ,0.175439,3
5位,スウィングガールズ,0.157895,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

280人目への推薦結果
1位,アナザヘヴン,0.953509,5
2位,禁じられた遊び,0.391667,3
3位,水戸黄門 天下の副将軍,0.308333,5
4位,リング0 バースデイ,0.208333,5
5位,メカゴジラの逆襲,0.158333,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：20％

281人目への推薦結果
1位,ラストサムライ,0.888889,3
2位,スター・ウォーズ エピソード3/シスの復讐,0.229630,3
3位,天空の城ラピュタ,0.229630,3
4位,禁じられた遊び,0.139683,5
5位,プライベート・ライアン,0.125926,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

282人目への推薦結果
1位,バトル・ロワイアル,0.403636,3
2位,バトル・ロワイアル,0.403636,3
3位,スター・ウォーズ エピソード3/シスの復讐,0.300606,3
4位,天空の城ラピュタ,0.300606,4
5位,ローマの休日,0.169697,4
,,,,,精度(3の割合)：60％
,,,,,精度(3，4の割合)：100％

283人目への推薦結果
1位,オペラ座の怪人,0.675163,5
2位,水戸黄門 天下の副将軍,0.307190,3
3位,マトリックス・レボリューションズ,0.230065,3
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.222876,5
5位,天空の城ラピュタ,0.222876,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

284人目への推薦結果
1位,禁じられた遊び,0.431515,4
2位,マトリックス・レボリューションズ,0.271515,4
3位,スター・ウォーズ エピソード3/シスの復讐,0.263030,5
4位,天空の城ラピュタ,0.263030,4
5位,ローマの休日,0.186667,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：80％

285人目への推薦結果
1位,禁じられた遊び,0.313333,4
2位,マトリックス・レボリューションズ,0.298667,4
3位,天空の城ラピュタ,0.289333,3
4位,アポロ13,0.230000,5
5位,プライベート・ライアン,0.212000,3
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：80％

286人目への推薦結果
1位,オペラ座の怪人,0.534503,5
2位,水戸黄門 天下の副将軍,0.329825,3
3位,マトリックス・レボリューションズ,0.261988,3
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.253801,5
5位,アポロ13,0.175439,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

287人目への推薦結果
1位,禁じられた遊び,0.482624,4
2位,オペラ座の怪人,0.350355,4
3位,アイ.ロボット,0.341135,5
4位,スーパーの女,0.064539,3
5位,許されざる者,0.062411,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

288人目への推薦結果
1位,オペラ座の怪人,0.471318,5
2位,禁じられた遊び,0.364341,4
3位,アポロ13,0.306202,5
4位,日本沈没,0.243411,3
5位,ピアノ・レッスン,0.179845,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：40％

289人目への推薦結果
1位,水戸黄門 天下の副将軍,0.778788,4
2位,禁じられた遊び,0.456061,4
3位,アポロ13,0.356061,5
4位,日本沈没,0.233333,4
5位,クレヨンしんちゃん ヘンダーランドの大冒険,0.198485,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：60％

290人目への推薦結果
1位,天空の城ラピュタ,0.654248,3
2位,プライベート・ライアン,0.459477,3
3位,マトリックス・レボリューションズ,0.313725,3
4位,パラサイト・イヴ,0.214379,5
5位,ゲロッパ!,0.148366,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：80％

291人目への推薦結果
1位,ラストサムライ,1.037037,3
2位,スター・ウォーズ エピソード1/ファントム・メナス,0.779012,4
3位,スター・ウォーズ エピソード3/シスの復讐,0.779012,4
4位,水戸黄門 天下の副将軍,0.464198,4
5位,マトリックス・レボリューションズ,0.276543,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：80％

292人目への推薦結果
1位,水戸黄門 天下の副将軍,0.540580,3
2位,ラストサムライ,0.521739,5
3位,禁じられた遊び,0.340580,3
4位,アポロ13,0.231884,5
5位,スウィングガールズ,0.173913,5
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：40％

293人目への推薦結果
1位,水戸黄門 天下の副将軍,0.755952,5
2位,禁じられた遊び,0.391667,4
3位,アポロ13,0.338095,5
4位,メカゴジラの逆襲,0.158333,5
5位,クレヨンしんちゃん ヘンダーランドの大冒険,0.133333,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：20％

294人目への推薦結果
1位,アナザヘヴン,0.921739,3
2位,禁じられた遊び,0.408696,5
3位,アポロ13,0.285507,5
4位,スウィングガールズ,0.217391,3
5位,モスラ,0.166667,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：60％

295人目への推薦結果
1位,アイ.ロボット,0.481046,4
2位,リング0 バースデイ,0.416993,3
3位,オペラ座の怪人,0.397386,3
4位,水戸黄門 天下の副将軍,0.368627,3
5位,日本沈没,0.219608,3
,,,,,精度(3の割合)：80％
,,,,,精度(3，4の割合)：100％

296人目への推薦結果
1位,天空の城ラピュタ,0.240639,3
2位,スター・ウォーズ エピソード1/ファントム・メナス,0.240639,4
3位,スター・ウォーズ エピソード3/シスの復讐,0.240639,3
4位,ローマの休日,0.178995,4
5位,アポロ13,0.148402,4
,,,,,精度(3の割合)：40％
,,,,,精度(3，4の割合)：100％

297人目への推薦結果
1位,ラストサムライ,1.019608,4
2位,禁じられた遊び,0.276471,4
3位,マトリックス・レボリューションズ,0.271895,5
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.263399,5
5位,天空の城ラピュタ,0.263399,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

298人目への推薦結果
1位,ローマの休日,0.228931,4
2位,マトリックス・レボリューションズ,0.221384,4
3位,スター・ウォーズ エピソード1/ファントム・メナス,0.214465,5
4位,天空の城ラピュタ,0.214465,4
5位,最終兵器彼女,0.196226,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：80％

299人目への推薦結果
1位,オペラ座の怪人,0.584946,5
2位,リング0 バースデイ,0.343011,5
3位,天空の城ラピュタ,0.266667,5
4位,スター・ウォーズ エピソード3/シスの復讐,0.266667,5
5位,スター・ウォーズ,0.266667,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

300人目への推薦結果
1位,日本沈没,0.183333,5
2位,スウィングガールズ,0.142857,5
3位,アポロ13,0.119048,5
4位,砂の器,0.119048,5
5位,モスラ,0.109524,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

301人目への推薦結果
1位,禁じられた遊び,0.481699,4
2位,マトリックス・レボリューションズ,0.188235,5
3位,天空の城ラピュタ,0.182353,4
4位,スター・ウォーズ エピソード1/ファントム・メナス,0.182353,5
5位,スター・ウォーズ エピソード3/シスの復讐,0.182353,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：40％

302人目への推薦結果
1位,ラストサムライ,2.026667,4
2位,ウォーターボーイズ,0.205333,3
3位,パラサイト・イヴ,0.198667,5
4位,オペラ座の怪人,0.102667,4
5位,シェーン,0.093333,5
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

303人目への推薦結果
1位,禁じられた遊び,0.359910,4
2位,アポロ13,0.249550,5
3位,日本沈没,0.138739,4
4位,パラサイト・イヴ,0.102703,5
5位,オペラ座の怪人,0.094144,3
,,,,,精度(3の割合)：20％
,,,,,精度(3，4の割合)：60％

304人目への推薦結果
1位,ラストサムライ,1.230769,5
2位,天空の城ラピュタ,0.760256,5
3位,スター・ウォーズ エピソード3/シスの復讐,0.760256,5
4位,スター・ウォーズ,0.760256,5
5位,マトリックス・レボリューションズ,0.328205,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

305人目への推薦結果
1位,禁じられた遊び,1.096667,4
2位,水戸黄門 天下の副将軍,0.863333,5
3位,メカゴジラの逆襲,0.443333,4
4位,12モンキーズ,0.350000,4
5位,最終兵器彼女,0.303333,4
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：80％

306人目への推薦結果
1位,禁じられた遊び,0.393464,5
2位,マトリックス・レボリューションズ,0.188235,5
3位,2001年宇宙の旅,0.182353,5
4位,天空の城ラピュタ,0.182353,5
5位,プライベート・ライアン,0.152288,5
,,,,,精度(3の割合)：0％
,,,,,精度(3，4の割合)：0％

307人目への推薦結果
1位,バトル・ロワイアル,0.746667,3
2位,オペラ座の怪人,0.675556,3
